# CMU Pronouncing Dictionary subset (corpus vocabulary only)
#
# ARPABET phoneme transcriptions for the words that appear in the Mitski lyrics
# corpus. Used by src/mitski_analysis/text.py:rhyme_summary to detect end rhymes
# by comparing the "rime" (last stressed vowel to the end) of line-final words.
#
# Source:  The CMU Pronouncing Dictionary (cmudict), Carnegie Mellon University.
#          https://github.com/cmusphinx/cmudict
# License: Public domain (CMU's BSD-2-Clause-style permissive license; the
#          dictionary data is free for any use).
#
# Format:  one entry per line, "word<TAB>ARPABET phonemes" (e.g. "light<TAB>L AY1 T").
#          Only the primary pronunciation of each word is kept. Lines starting
#          with "#" and blank lines are ignored by the loader.
#
# Generated by scripts/build_pron_lexicon.py from a full cmudict; edit that
# script (or its input), not this file, to regenerate.
a	AH0
met	M EH1 T
mhm	AH0 M HH AH0 M
mi	M IY1
middle	M IH1 D AH0 L
midnight	M IH1 D N AY2 T
mighty	M AY1 T IY0
miles	M AY1 L Z
million	M IH1 L Y AH0 N
min	M IH1 N
mind	M AY1 N D
mine	M AY1 N
minute	M IH1 N AH0 T
mirror	M IH1 R ER0
misery	M IH1 Z ER0 IY0
miss	M IH1 S
missed	M IH1 S T
missing	M IH1 S IH0 NG
mission	M IH1 SH AH0 N
mistake	M IH0 S T EY1 K
mistakes	M IH0 S T EY1 K S
misunderstood	M IH2 S AH0 N D ER0 S T UH1 D
mom	M AA1 M
moment	M OW1 M AH0 N T
momentum	M OW0 M EH1 N T AH0 M
money	M AH1 N IY0
monsters	M AA1 N S T ER0 Z
months	M AH1 N TH S
moon	M UW1 N
moonlight	M UW1 N L AY2 T
more	M AO1 R
morning	M AO1 R N IH0 NG
mosey	M OW1 Z IY0
mosquitoes	M AH0 S K IY1 T OW0 Z
most	M OW1 S T
mother	M AH1 DH ER0
mountain	M AW1 N T AH0 N
mountains	M AW1 N T AH0 N Z
mourn	M AO1 R N
mouth	M AW1 TH
move	M UW1 V
moved	M UW1 V D
moves	M UW1 V Z
movie	M UW1 V IY0
movies	M UW1 V IY0 Z
much	M AH1 CH
mumbled	M AH1 M B AH0 L D
murmuring	M ER1 M ER0 IH0 NG
music	M Y UW1 Z IH0 K
music's	M Y UW1 Z IH0 K S
must	M AH1 S T
mute	M Y UW1 T
my	M AY1
myself	M AY2 S EH1 L F
n	EH1 N
nail	N EY1 L
naked	N EY1 K AH0 D
nam	N AE1 M
name	N EY1 M
named	N EY1 M D
nameless	N EY1 M L AH0 S
natural	N AE1 CH ER0 AH0 L
ne	N IY1
near	N IH1 R
nearly	N IH1 R L IY0
neat	N IY1 T
neck	N EH1 K
need	N IY1 D
needed	N IY1 D AH0 D
needing	N IY1 D IH0 NG
needs	N IY1 D Z
neighbourhood	N EY1 B ER0 HH UH2 D
nervous	N ER1 V AH0 S
never	N EH1 V ER0
new	N UW1
next	N EH1 K S T
nice	N AY1 S
night	N AY1 T
nights	N AY1 T S
nine	N AY1 N
nirvana	N IH0 R V AA1 N AH0
no	N OW1
nobody	N OW1 B AA2 D IY2
nobody's	N OW1 B AA2 D IY2 Z
noise	N OY1 Z
non	N AA1 N
none	N AH1 N
nor	N AO1 R
normal	N AO1 R M AH0 L
not	N AA1 T
note	N OW1 T
nothing	N AH1 TH IH0 NG
nothing's	N AH1 TH IH0 NG Z
nothings	N AH1 TH IH0 NG Z
notice	N OW1 T AH0 S
noticed	N OW1 T AH0 S T
now	N AW1
nowhere	N OW1 W EH2 R
number	N AH1 M B ER0
o	OW1
o'clock	AH0 K L AA1 K
ocean	OW1 SH AH0 N
odd	AA1 D
of	AH1 V
off	AO1 F
offered	AO1 F ER0 D
often	AO1 F AH0 N
oh	OW1
ok	OW1 K EY1
okay	OW2 K EY1
old	OW1 L D
olden	OW1 L D AH0 N
older	OW1 L D ER0
on	AA1 N
once	W AH1 N S
one	W AH1 N
one's	W AH1 N Z
ones	W AH1 N Z
only	OW1 N L IY0
onto	AA1 N T UW0
ooh	UW1
open	OW1 P AH0 N
opened	OW1 P AH0 N D
opening	OW1 P AH0 N IH0 NG
opinions	AH0 P IH1 N Y AH0 N Z
or	AO1 R
order	AO1 R D ER0
organism	AO1 R G AH0 N IH2 Z AH0 M
original	ER0 IH1 JH AH0 N AH0 L
other	AH1 DH ER0
others	AH1 DH ER0 Z
ought	AO1 T
our	AW1 ER0
out	AW1 T
outline	AW1 T L AY2 N
outside	AW1 T S AY1 D
over	OW1 V ER0
overhead	OW1 V ER0 HH EH1 D
overwhelming	OW2 V ER0 W EH1 L M IH0 NG
own	OW1 N
owned	OW1 N D
p	P IY1
pa	P AA1
pain	P EY1 N
paint	P EY1 N T
painted	P EY1 N T IH0 D
para	P EH1 R AH0
parents	P EH1 R AH0 N T S
park	P AA1 R K
part	P AA1 R T
party	P AA1 R T IY0
party's	P AA1 R T IY0 Z
passed	P AE1 S T
passing	P AE1 S IH0 NG
past	P AE1 S T
path	P AE1 TH
patience	P EY1 SH AH0 N S
pay	P EY1
peach	P IY1 CH
peak	P IY1 K
pearl	P ER1 L
people	P IY1 P AH0 L
perched	P ER1 CH T
perfect	P ER0 F EH1 K T
perhaps	P ER0 HH AE1 P S
person	P ER1 S AH0 N
phone	F OW1 N
pick	P IH1 K
picture	P IH1 K CH ER0
pieces	P IY1 S AH0 Z
pills	P IH1 L Z
pink	P IH1 NG K
pinky	P IH1 NG K IY0
pity	P IH1 T IY0
place	P L EY1 S
places	P L EY1 S AH0 Z
plain	P L EY1 N
plains	P L EY1 N Z
plan	P L AE1 N
planet	P L AE1 N AH0 T
plant	P L AE1 N T
plastic	P L AE1 S T IH0 K
play	P L EY1
played	P L EY1 D
please	P L IY1 Z
pleasure	P L EH1 ZH ER0
plump	P L AH1 M P
pocket	P AA1 K AH0 T
poet	P OW1 AH0 T
poison	P OY1 Z AH0 N
polo	P OW1 L OW0
pond	P AA1 N D
pools	P UW1 L Z
pores	P AO1 R Z
possums	P AA1 S AH0 M Z
post	P OW1 S T
poured	P AO1 R D
power	P AW1 ER0
pr	P IY1 AA1 R
praise	P R EY1 Z
pre	P R IY1
precious	P R EH1 SH AH0 S
preemptively	P R IY0 EH1 M P T IH0 V L IY0
prepared	P R IY0 P EH1 R D
press	P R EH1 S
pretend	P R IY0 T EH1 N D
pretended	P R IY0 T EH1 N D IH0 D
prettiest	P R IH1 T IY0 AH0 S T
pretty	P R IH1 T IY0
price	P R AY1 S
pride	P R AY1 D
prim	P R IH1 M
prime	P R AY1 M
projection	P R AH0 JH EH1 K SH AH0 N
promise	P R AA1 M AH0 S
promised	P R AA1 M AH0 S T
promises	P R AA1 M AH0 S AH0 Z
promising	P R AA1 M AH0 S IH0 NG
proof	P R UW1 F
prove	P R UW1 V
public	P AH1 B L IH0 K
pull	P UH1 L
pulling	P UH1 L IH0 NG
pulls	P UH1 L Z
pulsing	P AH1 L S IH0 NG
punched	P AH1 N CH T
pure	P Y UH1 R
pursue	P ER0 S UW1
put	P UH1 T
putting	P AH1 T IH0 NG
questioning	K W EH1 S CH AH0 N IH0 NG
qui	K IY1
quick	K W IH1 K
quiet	K W AY1 AH0 T
quietly	K W AY1 AH0 T L IY0
quit	K W IH1 T
quite	K W AY1 T
r	AA1 R
r's	AA1 R Z
ra	R AA1
race	R EY1 S
rain	R EY1 N
rains	R EY1 N Z
raised	R EY1 Z D
ran	R AE1 N
ransack	R AE1 N S AE2 K
re	R EY1
reach	R IY1 CH
read	R EH1 D
ready	R EH1 D IY0
real	R IY1 L
really	R IH1 L IY0
rearranged	R IY2 ER0 EY1 N JH D
rearview	R IH1 R V Y UW0
reasons	R IY1 Z AH0 N Z
reckless	R EH1 K L AH0 S
red	R EH1 D
reflect	R IH0 F L EH1 K T
refrain	R IH0 F R EY1 N
regret	R AH0 G R EH1 T
release	R IY0 L IY1 S
relief	R IH0 L IY1 F
relieved	R IH0 L IY1 V D
relived	R IY0 L IH1 V D
remember	R IH0 M EH1 M B ER0
remembered	R IH0 M EH1 M B ER0 D
remembers	R IH0 M EH1 M B ER0 Z
rent	R EH1 N T
repeating	R IH0 P IY1 T IH0 NG
replaced	R IY2 P L EY1 S T
replica	R EH1 P L IH0 K AH0
replied	R IH0 P L AY1 D
reputations	R EH2 P Y AH0 T EY1 SH AH0 N Z
rescues	R EH1 S K Y UW2 Z
resistance	R IH0 Z IH1 S T AH0 N S
rest	R EH1 S T
resting	R EH1 S T IH0 NG
retire	R IH0 T AY1 R
retreating	R IY0 T R IY1 T IH0 NG
return	R IH0 T ER1 N
rhythmically	R IH1 DH M IH0 K L IY0
ride	R AY1 D
riding	R AY1 D IH0 NG
rifle	R AY1 F AH0 L
right	R AY1 T
ring	R IH1 NG
rings	R IH1 NG Z
riot	R AY1 AH0 T
ripe	R AY1 P
river	R IH1 V ER0
road	R OW1 D
roam	R OW1 M
robot	R OW1 B AA2 T
rocks	R AA1 K S
roll	R OW1 L
rolling	R OW1 L IH0 NG
roof	R UW1 F
room	R UW1 M
rotting	R AA1 T IH0 NG
round	R AW1 N D
routinely	R UW0 T IY1 N L IY0
ru	R UW1
ruin	R UW1 AH0 N
rules	R UW1 L Z
rum	R AH1 M
rumble	R AH1 M B AH0 L
run	R AH1 N
running	R AH1 N IH0 NG
runs	R AH1 N Z
rushing	R AH1 SH IH0 NG
s	EH1 S
sabah	S AA1 B AH0
sad	S AE1 D
sadness	S AE1 D N AH0 S
safe	S EY1 F
safely	S EY1 F L IY0
said	S EH1 D
salton	S AO1 L T AH0 N
same	S EY1 M
sand	S AE1 N D
sank	S AE1 NG K
save	S EY1 V
saved	S EY1 V D
saves	S EY1 V Z
saw	S AO1
say	S EY1
saying	S EY1 IH0 NG
says	S EH1 Z
scared	S K EH1 R D
scent	S EH1 N T
school	S K UW1 L
scratch	S K R AE1 CH
scream	S K R IY1 M
screaming	S K R IY1 M IH0 NG
screen	S K R IY1 N
sea	S IY1
seal	S IY1 L
searching	S ER1 CH IH0 NG
season	S IY1 Z AH0 N
secret	S IY1 K R AH0 T
secrets	S IY1 K R AH0 T S
see	S IY1
seek	S IY1 K
seem	S IY1 M
seems	S IY1 M Z
seen	S IY1 N
sell	S EH1 L
sen	S EH1 N
send	S EH1 N D
sense	S EH1 N S
serenity	S ER0 EH1 N AH0 T IY0
set	S EH1 T
setting	S EH1 T IH0 NG
settled	S EH1 T AH0 L D
seven	S EH1 V AH0 N
severe	S AH0 V IH1 R
sewn	S OW1 N
sex	S EH1 K S
shadow	SH AE1 D OW2
shadows	SH AE1 D OW2 Z
shake	SH EY1 K
shall	SH AE1 L
shame	SH EY1 M
shape	SH EY1 P
share	SH EH1 R
sharing	SH EH1 R IH0 NG
shark	SH AA1 R K
sharp	SH AA1 R P
shattered	SH AE1 T ER0 D
she	SH IY1
she'd	SH IY1 D
she's	SH IY1 Z
sheets	SH IY1 T S
shell	SH EH1 L
shift	SH IH1 F T
shine	SH AY1 N
shines	SH AY1 N Z
shining	SH AY1 N IH0 NG
ship	SH IH1 P
shits	SH IH1 T S
shoes	SH UW1 Z
should	SH UH1 D
should've	SH UH1 D AH0 V
shoulder	SH OW1 L D ER0
shoulders	SH OW1 L D ER0 Z
shouldn't	SH UH1 D AH0 N T
shouts	SH AW1 T S
shovel	SH AH1 V AH0 L
show	SH OW1
showed	SH OW1 D
shower	SH AW1 ER0
shown	SH OW1 N
shows	SH OW1 Z
shy	SH AY1
sick	S IH1 K
side	S AY1 D
sighed	S AY1 D
sight	S AY1 T
silence	S AY1 L AH0 N S
silent	S AY1 L AH0 N T
silently	S AY1 L AH0 N T L IY0
silly	S IH1 L IY0
silver	S IH1 L V ER0
simple	S IH1 M P AH0 L
sin	S IH1 N
since	S IH1 N S
sing	S IH1 NG
singing	S IH1 NG IH0 NG
single	S IH1 NG G AH0 L
sink	S IH1 NG K
sip	S IH1 P
sir	S ER1
sit	S IH1 T
sitting	S IH1 T IH0 NG
six	S IH1 K S
skin	S K IH1 N
skirt	S K ER1 T
skull	S K AH1 L
sky	S K AY1
sleep	S L IY1 P
sleeping	S L IY1 P IH0 NG
sleeps	S L IY1 P S
sleeve	S L IY1 V
slept	S L EH1 P T
slight	S L AY1 T
slip	S L IH1 P
slow	S L OW1
slowly	S L OW1 L IY0
small	S M AO1 L
smarter	S M AA1 R T ER0
smell	S M EH1 L
smells	S M EH1 L Z
smile	S M AY1 L
smoke	S M OW1 K
smoked	S M OW1 K T
smooth	S M UW1 DH
sneaks	S N IY1 K S
sniffing	S N IH1 F IH0 NG
snow	S N OW1
snowflakes	S N OW1 F L EY2 K S
so	S OW1
sober	S OW1 B ER0
socks	S AA1 K S
soft	S AA1 F T
softly	S AO1 F T L IY0
sold	S OW1 L D
solemn	S AA1 L AH0 M
som	S AA1 M
some	S AH1 M
somebody	S AH1 M B AA2 D IY0
somebody's	S AH1 M B AA2 D IY0 Z
somehow	S AH1 M HH AW2
someone	S AH1 M W AH2 N
someone's	S AH1 M W AH2 N Z
something	S AH1 M TH IH0 NG
sometimes	S AH0 M T AY1 M Z
somewhere	S AH1 M W EH2 R
son	S AH1 N
song	S AO1 NG
songs	S AO1 NG Z
sorry	S AA1 R IY0
soul	S OW1 L
sound	S AW1 N D
sounded	S AW1 N D IH0 D
sounds	S AW1 N D Z
southern	S AH1 DH ER0 N
space	S P EY1 S
spare	S P EH1 R
spat	S P AE1 T
speak	S P IY1 K
speaks	S P IY1 K S
speeches	S P IY1 CH AH0 Z
spend	S P EH1 N D
spirit	S P IH1 R AH0 T
spirits	S P IH1 R IH0 T S
splash	S P L AE1 SH
spoke	S P OW1 K
spoken	S P OW1 K AH0 N
spoon	S P UW1 N
spring	S P R IH1 NG
square	S K W EH1 R
squeeze	S K W IY1 Z
ss	EH1 S EH1 S
st	S T R IY1 T
stab	S T AE1 B
stains	S T EY1 N Z
stand	S T AE1 N D
standing	S T AE1 N D IH0 NG
star	S T AA1 R
stare	S T EH1 R
stared	S T EH1 R D
staring	S T EH1 R IH0 NG
starlight	S T AA1 R L AY2 T
stars	S T AA1 R Z
start	S T AA1 R T
starting	S T AA1 R T IH0 NG
state	S T EY1 T
static	S T AE1 T IH0 K
stay	S T EY1
stayed	S T EY1 D
staying	S T EY1 IH0 NG
stays	S T EY1 Z
steady	S T EH1 D IY0
steal	S T IY1 L
step	S T EH1 P
stepped	S T EH1 P T
sticker	S T IH1 K ER0
sticking	S T IH1 K IH0 NG
sticks	S T IH1 K S
stigmatized	S T IH1 G M AH0 T AY2 Z D
still	S T IH1 L
stillness	S T IH1 L N AH0 S
stoker	S T OW1 K ER0
stone	S T OW1 N
stood	S T UH1 D
stop	S T AA1 P
stopped	S T AA1 P T
stops	S T AA1 P S
store	S T AO1 R
stories	S T AO1 R IY0 Z
storm	S T AO1 R M
storms	S T AO1 R M Z
story	S T AO1 R IY0
strange	S T R EY1 N JH
strawberry	S T R AO1 B EH2 R IY0
stream	S T R IY1 M
streamers	S T R IY1 M ER0 Z
street	S T R IY1 T
streets	S T R IY1 T S
strength	S T R EH1 NG K TH
stretched	S T R EH1 CH T
stride	S T R AY1 D
strike	S T R AY1 K
string	S T R IH1 NG
strong	S T R AO1 NG
stronger	S T R AO1 NG ER0
struggle	S T R AH1 G AH0 L
stuck	S T AH1 K
study	S T AH1 D IY0
stuff	S T AH1 F
styx	S T IH1 K S
succumbing	S AH0 K AH1 M IH0 NG
such	S AH1 CH
suck	S AH1 K
summer	S AH1 M ER0
sun	S AH1 N
sunday	S AH1 N D EY2
sung	S AH1 NG
sunlight	S AH1 N L AY2 T
sunny	S AH1 N IY0
sunrise	S AH1 N R AY2 Z
sunset	S AH1 N S EH2 T
supposed	S AH0 P OW1 Z D
sure	SH UH1 R
surely	SH UH1 R L IY0
surrender	S ER0 EH1 N D ER0
surrounded	S ER0 AW1 N D IH0 D
surrounds	S ER0 AW1 N D Z
survive	S ER0 V AY1 V
swam	S W AE1 M
swarm	S W AO1 R M
swaying	S W EY1 IH0 NG
swear	S W EH1 R
sweat	S W EH1 T
sweet	S W IY1 T
sweetness	S W IY1 T N AH0 S
t	T IY1
table	T EY1 B AH0 L
tak	T AE1 K
take	T EY1 K
taken	T EY1 K AH0 N
taking	T EY1 K IH0 NG
talk	T AO1 K
talking	T AO1 K IH0 NG
tall	T AO1 L
tan	T AE1 N
taste	T EY1 S T
tasted	T EY1 S T IH0 D
tastes	T EY1 S T S
taught	T AO1 T
taxi	T AE1 K S IY0
tea	T IY1
teach	T IY1 CH
tear	T EH1 R
tease	T IY1 Z
teeth	T IY1 TH
tek	T EH1 K
tell	T EH1 L
telling	T EH1 L IH0 NG
ten	T EH1 N
tending	T EH1 N D IH0 NG
tent	T EH1 N T
texas	T EH1 K S AH0 S
th	T IY1 EY1 CH
than	DH AE1 N
thank	TH AE1 NG K
that	DH AE1 T
that'll	DH AE1 T AH0 L
that's	DH AE1 T S
the	DH AH0
theater	TH IY1 AH0 T ER0
their	DH EH1 R
them	DH EH1 M
then	DH EH1 N
there	DH EH1 R
there'll	DH EH1 R AH0 L
there's	DH EH1 R Z
these	DH IY1 Z
they	DH EY1
they'll	DH EY1 L
they're	DH EH1 R
thing	TH IH1 NG
things	TH IH1 NG Z
think	TH IH1 NG K
thinkin	TH IH1 NG K IH0 N
thinking	TH IH1 NG K IH0 NG
thirty	TH ER1 D IY2
this	DH IH1 S
those	DH OW1 Z
though	DH OW1
thought	TH AO1 T
thoughts	TH AO1 T S
thousand	TH AW1 Z AH0 N D
three	TH R IY1
throat	TH R OW1 T
through	TH R UW1
throw	TH R OW1
thunder	TH AH1 N D ER0
thursday	TH ER1 Z D EY2
ti	T IY1
tide	T AY1 D
tidy	T AY1 D IY0
tight	T AY1 T
til	T IH1 L
tiles	T AY1 L Z
time	T AY1 M
time's	T AY1 M Z
times	T AY1 M Z
tin	T IH1 N
tired	T AY1 ER0 D
to	T UW1
today	T AH0 D EY1
toe	T OW1
together	T AH0 G EH1 DH ER0
token	T OW1 K AH0 N
told	T OW1 L D
tomb	T UW1 M
tomorrow	T AH0 M AA1 R OW2
tomorrow's	T AH0 M AA1 R OW2 Z
toner	T OW1 N ER0
tonight	T AH0 N AY1 T
too	T UW1
took	T UH1 K
top	T AA1 P
toss	T AO1 S
touch	T AH1 CH
towards	T AH0 W AO1 R D Z
town	T AW1 N
toys	T OY1 Z
tracks	T R AE1 K S
train	T R EY1 N
traveled	T R AE1 V AH0 L D
treasure	T R EH1 ZH ER0
treat	T R IY1 T
tree	T R IY1
trees	T R IY1 Z
trembling	T R EH1 M B AH0 L IH0 NG
tried	T R AY1 D
trinkets	T R IH1 NG K AH0 T S
troubles	T R AH1 B AH0 L Z
true	T R UW1
trust	T R AH1 S T
truth	T R UW1 TH
try	T R AY1
trying	T R AY1 IH0 NG
tuck	T AH1 K
tunnel	T AH1 N AH0 L
turbulence	T ER1 B Y AH0 L AH0 N S
turn	T ER1 N
turned	T ER1 N D
turning	T ER1 N IH0 NG
turns	T ER1 N Z
tv	T IY1 V IY1
twenty	T W EH1 N T IY0
twilight	T W AY1 L AY2 T
two	T UW1
type	T AY1 P
u	Y UW1
uh	AH1
ula	Y UW1 L AH0
um	AH1 M
unafraid	AH2 N AH0 F R EY1 D
under	AH1 N D ER0
underground	AH1 N D ER0 G R AW2 N D
underneath	AH2 N D ER0 N IY1 TH
undone	AH0 N D AH1 N
unkind	AH0 N K AY1 N D
unknown	AH0 N N OW1 N
unleashes	AH0 N L IY1 SH IH0 Z
unless	AH0 N L EH1 S
untie	AH0 N T AY1
until	AH0 N T IH1 L
up	AH1 P
upon	AH0 P AA1 N
upstate	AH1 P S T EY1 T
us	AH1 S
use	Y UW1 S
used	Y UW1 Z D
usual	Y UW1 ZH AH0 W AH0 L
vacation	V EY0 K EY1 SH AH0 N
valley	V AE1 L IY0
variety	V ER0 AY1 AH0 T IY0
ve	V IY1
veins	V EY1 N Z
venus	V IY1 N AH0 S
ver	V ER1
verdi	V EH1 R D IY0
verse	V ER1 S
very	V EH1 R IY0
view	V Y UW1
viewing	V Y UW1 IH0 NG
vigil	V IH1 JH AH0 L
violence	V AY1 AH0 L AH0 N S
violent	V AY1 AH0 L AH0 N T
violin	V AY0 AH0 L IH1 N
visit	V IH1 Z IH0 T
vocals	V OW1 K AH0 L Z
voice	V OY1 S
voices	V OY1 S AH0 Z
void	V OY1 D
vows	V AW1 Z
wait	W EY1 T
waited	W EY1 T IH0 D
waiting	W EY1 T IH0 NG
waits	W EY1 T S
wake	W EY1 K
walk	W AO1 K
walked	W AO1 K T
walking	W AO1 K IH0 NG
walks	W AO1 K S
wall	W AO1 L
walls	W AO1 L Z
wandering	W AA1 N D ER0 IH0 NG
wanna	W AA1 N AH0
want	W AA1 N T
wanted	W AO1 N T IH0 D
wanting	W AA1 N T IH0 NG
wanton	W AO1 N T AH0 N
wants	W AA1 N T S
war	W AO1 R
warm	W AO1 R M
warming	W AO1 R M IH0 NG
warning	W AO1 R N IH0 NG
was	W AA1 Z
wash	W AA1 SH
washing	W AA1 SH IH0 NG
wasn't	W AA1 Z AH0 N T
wasp	W AA1 S P
waste	W EY1 S T
watch	W AA1 CH
watching	W AA1 CH IH0 NG
water	W AO1 T ER0
watered	W AO1 T ER0 D
wave	W EY1 V
waving	W EY1 V IH0 NG
wax	W AE1 K S
way	W EY1
ways	W EY1 Z
we	W IY1
we'd	W IY1 D
we'll	W IY1 L
we're	W IY1 R
we've	W IY1 V
wear	W EH1 R
wearing	W EH1 R IH0 NG
weep	W IY1 P
weight	W EY1 T
well	W EH1 L
went	W EH1 N T
were	W ER1
wet	W EH1 T
what	W AH1 T
what'd	W AH1 T IH0 D
what's	W AH1 T S
whatever	W AH2 T EH1 V ER0
when	W EH1 N
where	W EH1 R
where'd	W EH1 R D
where's	W EH1 R Z
wherever	W EH0 R EH1 V ER0
which	W IH1 CH
while	W AY1 L
white	W AY1 T
who	HH UW1
who's	HH UW1 Z
whoever's	HH UW0 EH1 V ER0 Z
whole	HH OW1 L
why	W AY1
why's	W AY1 Z
wide	W AY1 D
wild	W AY1 L D
will	W IH1 L
willing	W IH1 L IH0 NG
willow	W IH1 L OW2
win	W IH1 N
wind	W AY1 N D
window	W IH1 N D OW0
windy	W IH1 N D IY0
wish	W IH1 SH
wished	W IH1 SH T
with	W IH1 DH
within	W IH0 DH IH1 N
without	W IH0 TH AW1 T
witness	W IH1 T N AH0 S
woke	W OW1 K
woken	W OW1 K AH0 N
wolves	W UH1 L V Z
woman	W UH1 M AH0 N
women	W IH1 M AH0 N
won't	W OW1 N T
wonder	W AH1 N D ER0
wondered	W AH1 N D ER0 D
wondering	W AH1 N D ER0 IH0 NG
word	W ER1 D
words	W ER1 D Z
wore	W AO1 R
work	W ER1 K
working	W ER1 K IH0 NG
world	W ER1 L D
worn	W AO1 R N
worry	W ER1 IY0
worse	W ER1 S
worth	W ER1 TH
would	W UH1 D
would've	W UH1 D AH0 V
wouldn't	W UH1 D AH0 N T
wrap	R AE1 P
wrappers	R AE1 P ER0 Z
wrath	R AE1 TH
write	R AY1 T
writing	R AY1 T IH0 NG
written	R IH1 T AH0 N
wrong	R AO1 NG
y	W AY1
ya	Y AA1
yard	Y AA1 R D
yeah	Y AE1
year	Y IH1 R
year's	Y IH1 R Z
yearned	Y ER1 N D
years	Y IH1 R Z
yes	Y EH1 S
yet	Y EH1 T
yo	Y OW1
yore	Y AO1 R
you	Y UW1
you'd	Y UW1 D
you'll	Y UW1 L
you're	Y UH1 R
you've	Y UW1 V
young	Y AH1 NG
young's	Y AH1 NG Z
your	Y AO1 R
yours	Y UH1 R Z
yourself	Y ER0 S EH1 L F
yuletide	Y UW1 L T AY2 D
z	Z IY1
zaman	Z EY1 M AH0 N
zel	Z EH1 L
zipper	Z IH1 P ER0
zone	Z OW1 N
